course_code,video_name,video_code,framework_languages,content_url,doID
FMPS_C001,التواصل المهني,FMPS_C001_V01,"arabic;english,french",https://drive.google.com/file/d/1YxYbGL0octT3sHg3AhgHw_W6u6j536I1/view?usp=drive_link,do_2143197178119454721222
FMPS_C001,التواصل المهني الفعال,FMPS_C001_V02,"arabic;english,french",https://drive.google.com/file/d/1xNxLyUsCV4d3Sg9yisJBj6U35T_B-90N/view?usp=drive_link,do_2143197179518320641223
FMPS_C001,التعرف على مهارات التواصل المهني,FMPS_C001_V03,"arabic;english,french",https://drive.google.com/file/d/1Vvem-xoB9SpYlAevSYogOEEN0gwzFk4Y/view?usp=drive_link,do_2143197181111992321224
FMPS_C001,تحديد اشكال التواصل المهني,FMPS_C001_V04,"arabic;english,french",https://drive.google.com/file/d/1Duipsygc2DvZOCC7UGKhFlV6lMK3RDoe/view?usp=drive_link,do_2143197182655692801225
FMPS_C002,تقديم وتعريف,FMPS_C002_V01,"arabic;english,french",https://drive.google.com/file/d/1NKLpkz_8C31woukFwvfoAEynIvw1epdc/view?usp=drive_link,do_2143197184197754881226
FMPS_C002,مبادئ التواصل الغير العنيف,FMPS_C002_V02,"arabic;english,french",https://drive.google.com/file/d/11DG1dg7Uzx549hKnhWiX7BcoUeG_vxp1/view?usp=drive_link,do_2143197185478410241227
FMPS_C002,علاقة الذكاء العاطفي بالتواصل الغير العنيف,FMPS_C002_V03,"arabic;english,french",https://drive.google.com/file/d/1172iIZWOfgWb7t90Y0K8zNFo_e7Mfngj/view?usp=drive_link,do_2143197186790604801228
FMPS_C002,كيف ينمي المربي مهارات التواصل غير العنيف عند الاطفال,FMPS_C002_V04,"arabic;english,french",https://drive.google.com/file/d/1WuaaUNT3y4q-sLVgxFoUpzlkqR56h4IQ/view?usp=drive_link,do_2143197188127129601229
FMPS_C003,تعريف التربية الوالدية,FMPS_C003_V01,"arabic;english,french",https://drive.google.com/file/d/19zxNklX2pIjN74ppUWk-GUr4dN9ZzH_G/view?usp=drive_link,do_2143197189402378241230
FMPS_C003,أهمية وأهداف التربية الوالدية,FMPS_C003_V02,"arabic;english,french",https://drive.google.com/file/d/1YptohzrIdIDrrLfHip03Y00SyqdhXjm6/view?usp=drive_link,do_2143197190762414081231
FMPS_C003,I أساليب نجاح التربية الوالدية,FMPS_C003_V03,"arabic;english,french",https://drive.google.com/file/d/1jL4QN0aU9SWtSjfMBFf8fc5MOgRHY9oK/view?usp=drive_link,do_2143197192328560641232
FMPS_C003,II أساليب نجاح التربية الوالدية,FMPS_C003_V04,"arabic;english,french",https://drive.google.com/file/d/1j26FuKFZ_D4sK7utMiBuznYMW-YIDzaS/view?usp=drive_link,do_2143197193785589761233
FMPS_C003,مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,FMPS_C003_V05,"arabic;english,french",https://drive.google.com/file/d/16-v8dAKBNWl0a18nYnB6R3U-Qb9ntxN3/view?usp=drive_link,do_2143197195222466561234
FMPS_C003,فوائد مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,FMPS_C003_V06,"arabic;english,french",https://drive.google.com/file/d/1Wr6zokc_wRx4gyXYOgKJk2oQkJH6UEbt/view?usp=drive_link,do_2143197196777390081235
FMPS_C004,تعريف نظريات التعلم واهميتها,FMPS_C004_V01,"arabic;english,french",https://drive.google.com/file/d/1gIVQdvWiGZqMxyt6WskIegLlgIlMLd5K/view?usp=drive_link,do_2143197198435450881236
FMPS_C004,النظرية السلوكية,FMPS_C004_V02,"arabic;english,french",https://drive.google.com/file/d/1ChYINd0_NKthFBDpuTdJIjcFg7DrN7ry/view?usp=drive_link,do_2143197199655075841237
FMPS_C004,التطبيق البيداغوجي للنظرية السلوكية,FMPS_C004_V03,"arabic;english,french",https://drive.google.com/file/d/11McgijhN26uvW4hc4ihI8BrSIUZu0q8R/view?usp=drive_link,do_2143197200984145921238
FMPS_C004,النظرية البنائية,FMPS_C004_V04,"arabic;english,french",https://drive.google.com/file/d/12gjq3FV0FKvpsUm6ul4J2Slqlw6qgFSr/view?usp=drive_link,do_2143197202399150081239
FMPS_C004,التطبيق البيداغوجي للنظرية البنائية,FMPS_C004_V05,"arabic;english,french",https://drive.google.com/file/d/1eeUkSEE4HNIVJFAsXVqvSCqSJ58_R03G/view?usp=drive_link,do_2143197203745505281240
FMPS_C004,النظرية الجشطالتية,FMPS_C004_V06,"arabic;english,french",https://drive.google.com/file/d/1Fh-ZGbavixJH7GEgaq1jFrb2MRpOmeds/view?usp=drive_link,do_2143197204968488961241
FMPS_C004,التطبيق البيداغوجي للنظرية الجشطلتية,FMPS_C004_V07,"arabic;english,french",https://drive.google.com/file/d/1OxVboD8ZVf9JKKXgmu7UmFxAVZWp-EDM/view?usp=drive_link,do_2143197206243737601242
FMPS_C004,النظرية السوسيوبنائية,FMPS_C004_V08,"arabic;english,french",https://drive.google.com/file/d/10GovfavLWGkpe6ES_uOn8G0XvSfs7fUC/view?usp=drive_link,do_2143197207476961281243
