module_name,module_code,module_description,framework_languages,children
التواصل المهني,FMPS_C001_V01,No DESCRIPTION,"arabic;english,french","التواصل المهني,الاختبار التواصل المهني"
التواصل المهني الفعال,FMPS_C001_V02,No DESCRIPTION,"arabic;english,french","التواصل المهني الفعال,الاختبار التواصل المهني الفعال"
التعرف على مهارات التواصل المهني,FMPS_C001_V03,No DESCRIPTION,"arabic;english,french","التعرف على مهارات التواصل المهني,الاختبار التعرف على مهارات التواصل المهني"
تحديد اشكال التواصل المهني,FMPS_C001_V04,No DESCRIPTION,"arabic;english,french","تحديد اشكال التواصل المهني,الاختبار تحديد اشكال التواصل المهني"
تقديم وتعريف,FMPS_C002_V01,No DESCRIPTION,"arabic;english,french","تقديم وتعريف,الاختبار تقديم وتعريف"
مبادئ التواصل الغير العنيف,FMPS_C002_V02,No DESCRIPTION,"arabic;english,french","مبادئ التواصل الغير العنيف,الاختبار مبادئ التواصل الغير العنيف"
علاقة الذكاء العاطفي بالتواصل الغير العنيف,FMPS_C002_V03,No DESCRIPTION,"arabic;english,french","علاقة الذكاء العاطفي بالتواصل الغير العنيف,الاختبار علاقة الذكاء العاطفي بالتواصل الغير العنيف"
كيف ينمي المربي مهارات التواصل غير العنيف عند الاطفال,FMPS_C002_V04,No DESCRIPTION,"arabic;english,french","كيف ينمي المربي مهارات التواصل غير العنيف عند الاطفال,الاختبار كيف ينمي المربي مهارات التواصل غير العنيف عند الاطفال"
تعريف التربية الوالدية,FMPS_C003_V01,No DESCRIPTION,"arabic;english,french","تعريف التربية الوالدية,الاختبار تعريف التربية الوالدية"
أهمية وأهداف التربية الوالدية,FMPS_C003_V02,No DESCRIPTION,"arabic;english,french","أهمية وأهداف التربية الوالدية,الاختبار أهمية وأهداف التربية الوالدية"
I أساليب نجاح التربية الوالدية,FMPS_C003_V03,No DESCRIPTION,"arabic;english,french","I أساليب نجاح التربية الوالدية,الاختبار I أساليب نجاح التربية الوالدية"
II أساليب نجاح التربية الوالدية,FMPS_C003_V04,No DESCRIPTION,"arabic;english,french","II أساليب نجاح التربية الوالدية,الاختبار II أساليب نجاح التربية الوالدية"
مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,FMPS_C003_V05,No DESCRIPTION,"arabic;english,french","مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,الاختبار مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية"
فوائد مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,FMPS_C003_V06,No DESCRIPTION,"arabic;english,french","فوائد مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,الاختبار فوائد مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية"
تعريف نظريات التعلم واهميتها,FMPS_C004_V01,No DESCRIPTION,"arabic;english,french","تعريف نظريات التعلم واهميتها,الاختبار تعريف نظريات التعلم واهميتها"
النظرية السلوكية,FMPS_C004_V02,No DESCRIPTION,"arabic;english,french","النظرية السلوكية,الاختبار النظرية السلوكية"
التطبيق البيداغوجي للنظرية السلوكية,FMPS_C004_V03,No DESCRIPTION,"arabic;english,french","التطبيق البيداغوجي للنظرية السلوكية,الاختبار التطبيق البيداغوجي للنظرية السلوكية"
النظرية البنائية,FMPS_C004_V04,No DESCRIPTION,"arabic;english,french","النظرية البنائية,الاختبار النظرية البنائية"
