COURSE_CODE,COURSE_TITLE,MODULES_TITLE,MODULE_CODE,url video,Quiz_code,Code_Question ,Quiz,option 1,answer,option 2,answer,option 4,answer,option5,answer,option6,answer,option7,answer,option8,answer,,,,,,
FMPS_C001,التواصل المهني ,التواصل المهني,FMPS_C001_V01,https://drive.google.com/file/d/1YxYbGL0octT3sHg3AhgHw_W6u6j536I1/view?usp=drive_link,FMPS_C001_QV01,FMPS_C001_QV01_Q_1," أجب بصحيح أو خطأ على العبارة الموالية:
بناء العلاقات والتواصل الدائم مع الاولياء والشركاء يولد اصطدامات مهنية"".
",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
,,,,,,FMPS_C001_QV02_Q_2," أجب بصحيح أو خطأ على العبارة الموالية:
   التعاون بين الفريق يساهم في تطوير العلاقات المهنية
",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
,,,,,,FMPS_C001_QV03_Q_3," أجب بصحيح أو خطأ على العبارة الموالية:
     هل ستؤدي اشكال التواصل المهني الحديثة الى الغاء التواصل المهني المباشر
",صحيح ,true ,,,,,,,,,,,,,,,,,,
,,,,,,FMPS_C001_QV04_Q_4,"من بين الاختيارات التالية، حدد الصحيحة:
أشكال التواصل المهني الناجح هي:


","التعامل اللائق والمحترم مع الاخرين 
",true ,التعامل بمهنية واحتكار المعلومة,false ,تبادل المشاعر والأفكار بين الافراد,true ,تحقيق اهداف فردية من اجل التميز والنجاح,false ,,,,,,,,,,,,
,,,,,,FMPS_C001_QV05_Q_5," أجب بصحيح أو خطأ على العبارة الموالية:
أهمية التواصل المهني يساعد على بناء الثقة بين اطر المؤسسة، تعزيز الفهم المتبادل وتحسين العلاقات بين المربي والاباء:
",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C001,التواصل المهني ,التواصل المهني الفعال,FMPS_C001_V02,https://drive.google.com/file/d/1xNxLyUsCV4d3Sg9yisJBj6U35T_B-90N/view?usp=drive_link,FMPS_C001_QV02,FMPS_C001_QV02_Q_1," من بين العناصر التالية، حدد تلك التي من الضروري توفرها من اجل إنجاح التواصل المهني الناجح


", الرسالة,false , المثير,true , المستقبل,false , المرسل,false , الوسيلة,false ,,,,,,,,,,
,,,,,,FMPS_C001_QV03_Q_2," أجب بصحيح أو خطأ على العبارة الموالية:
 المستقبل هو مصدر الرسالة ويكون متحدثا بطريقة مباشرة او غير مباشرة:
",خطأ,false ,صحيح ,true ,,,,,,,,,,,,,,,,
,,,,,,FMPS_C001_QV04_Q_3," أجب بصحيح أو خطأ على العبارة الموالية:
معرفة المربي للعناصر الرئيسية للتواصل تساعده على تحقيق الأهداف المشتركة للتواصل المهني
",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
,,,,,,FMPS_C001_QV05_Q_4,"من بين الاختيارات التالية، حدد الصحيحة:
البعد الجغرافي، واللهجات.. تندرج ضمن أي نوع من المعيقات 

",المعيقات البيئية,true , المعيقات التنظيمية,false , المعيقات الشخصية,false ,,,,,,,,,,,,,,
,,,,,,FMPS_C001_QV06_Q_5,"من بين الاختيارات التالية، حدد الصحيحة:
 المعيقات الشخصية هي:
","التوجهات السلبية

",true ,الاختلاف في الادراك,true ,وجود أوضاع عير مستقرة وتغيرات مفاجئة,false ,وجود علاقات سيئة بين الافراد,true ,,,,,,,,,,,,
